"Reason for Credit Entry","Sub Order No","Order Date","Customer State","Product Name","SKU","Size","Quantity","Supplier Listed Price (Incl. GST + Commission)","Supplier Discounted Price (Incl GST and Commision)","Packet Id"
"DELIVERED","138565561834997376_1","2025-04-01","Tamil Nadu","Mikado | Wooden 31 Pick-Up Sticks | Best Return Gift | Fun Family Indoor Board Game for Adults and Kids 5+ Years (Pack of 1)","Mikado","Free Size","1","96.0","96.0",
"DELIVERED","138582310730902530_1","2025-04-01","Kerala","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","1","299.0","299.0","TK9FBPS03040931"
"DELIVERED","138678056528021568_1","2025-04-01","Andhra Pradesh","Homtheo|Rice Drainer Stand | Rice Pot Drainer Stand | Drain Stand for Rice | Stainless Steel Hands Free Rice Beans Noodle Pasta Drainer Strainer Stand|rice Dry stand","Homtheo RPS","Free Size","1","225.0","225.0",
"DELIVERED","138756118984689728_1","2025-04-02","Tamil Nadu","Rice Pot Drainer Stand | Stainless Steel Stand for Fruit, Beans, Noodle Strainer | Cooked Rice Strainer Stand | Hands Free Rice Drainer Stand rice dry stand","stand","Free Size","1","240.0","240.0",
"CANCELLED","138866051688737728_1","2025-04-02","Tamil Nadu","Mikado | Wooden 31 Pick-Up Sticks | Best Return Gift | Fun Family Indoor Board Game for Adults and Kids 5+ Years (Pack of 1)","Mikado","Free Size","1","96.0","96.0",
"DELIVERED","138933804860746688_1","2025-04-02","Tamil Nadu","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","1","295.0","295.0","TK9FBPS03040932"
"DELIVERED","138971772443100800_1","2025-04-02","Karnataka","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","1","299.0","299.0","TK9FBPS03040933"
"DELIVERED","139168111656705536_1","2025-04-03","Telangana","Mikado | Wooden 31 Pick-Up Sticks | Best Return Gift | Fun Family Indoor Board Game for Adults and Kids 5+ Years (Pack of 1)","Mikado","Free Size","1","99.0","99.0",
"DELIVERED","139230344700859136_1","2025-04-03","Tamil Nadu","Mikado | Wooden 31 Pick-Up Sticks | Best Return Gift | Fun Family Indoor Board Game for Adults and Kids 5+ Years (Pack of 1)","Mikado","Free Size","1","96.0","96.0",
"DELIVERED","139314826267169536_1","2025-04-03","Haryana","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","1","295.0","295.0","TK9FBPS03040934"
"DELIVERED","139327570339736513_1","2025-04-03","Delhi","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","1","299.0","299.0","TK9FBPS03040921"
"DELIVERED","139344264306788440_1","2025-04-03","Uttar Pradesh","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","1","299.0","299.0","TK9FBPS03040922"
"DELIVERED","139353533676685440_1","2025-04-03","Andhra Pradesh","Mikado | Wooden 31 Pick-Up Sticks | Best Return Gift | Fun Family Indoor Board Game for Adults and Kids 5+ Years (Pack of 1)","Mikado","Free Size","1","99.0","99.0",
"DELIVERED","139391193455691904_1","2025-04-03","Tamil Nadu","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","1","299.0","299.0","TK9FBPS03040935"
"DELIVERED","139620915349132032_1","2025-04-04","Tamil Nadu","Stainless Steel Rice Pot Drain Stand|Noodles Strainer|Cooked Rice Strainer Stand|Hands Free Rice Drainer Stand|Stand for Fruit,Beans","New Rice pot with pink gloves","Free Size","1","290.0","290.0",
"DELIVERED","139649631461354560_1","2025-04-04","Karnataka","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","1","299.0","299.0","TK9FBPS03040920"
"DELIVERED","139660072765926400_1","2025-04-04","Maharashtra","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","1","299.0","299.0","TK9FBPS03040936"
"DELIVERED","139731613310158976_1","2025-04-04","Uttar Pradesh","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","1","295.0","295.0","TK9FBPS03040927"
"DELIVERED","139747116537451136_1","2025-04-04","Karnataka","Mikado | Wooden 31 Pick-Up Sticks | Best Return Gift | Fun Family Indoor Board Game for Adults and Kids 5+ Years (Pack of 1)","Mikado","Free Size","1","96.0","96.0",
"DELIVERED","139919783226705536_1","2025-04-05","Tamil Nadu","Kitchen Sink Caddy, Sponge Holder for Kitchen Sink,Kitchen Sink Organizer,Kitchen Sponge Holder,Dish Sponger Holder,Dish Soap Holder","ss caddy organizer","Free Size","1","319.0","319.0",
"DELIVERED","140071540946274432_1","2025-04-05","Tamil Nadu","Stainless Steel Rice Pot Drain Stand|Noodles Strainer|Cooked Rice Strainer Stand|Hands Free Rice Drainer Stand|Stand for Fruit,Beans","New Rice pot with pink gloves","Free Size","1","290.0","290.0",
"RTO_COMPLETE","140335321808737024_1","2025-04-06","Karnataka","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","1","299.0","279.0","TK9FBPS03040899"
"DELIVERED","140342774841903241_1","2025-04-06","Uttar Pradesh","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","1","299.0","279.0","TK9FBPS03040893"
"DELIVERED","140344502267777856_1","2025-04-06","Maharashtra","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","1","299.0","279.0","TK9FBPS03040891"
"DELIVERED","140361776051622529_1","2025-04-06","West Bengal","Stainless Steel Rice Pot Drain Stand|Noodles Strainer|Cooked Rice Strainer Stand|Hands Free Rice Drainer Stand|Stand for Fruit,Beans","Drainer","Free Size","1","290.0","270.0","TK9FBPS03040919"
"DELIVERED","140370852524108736_1","2025-04-06","Tamil Nadu","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","1","299.0","279.0","TK9FBPS03040889"
"DELIVERED","140387853776032384_1","2025-04-06","Bihar","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","1","299.0","279.0","TK9FBPS03040894"
"DELIVERED","140429306970441344_1","2025-04-06","Gujarat","CUBE Sink Organiser for Kitchen-Sink Caddy With Brush & Sponge Holder Cup- Sink Organizer with Drain Tray- Countertop Soap Holder for Kitchen Sink with Adhesive patch for wall mounting.","pop cube","Free Size","1","380.0","354.0",
"DELIVERED","140472930055685760_1","2025-04-06","Delhi","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","1","299.0","279.0","TK9FBPS03040897"
"LOST","140488024403520578_1","2025-04-06","Uttarakhand","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","1","299.0","279.0","TK9FBPS03040892"
"DELIVERED","140501006987924096_1","2025-04-06","Kerala","Homtheo 304 Stainless Steel Sponge Holder for Kitchen Sink | Rustproof Sink Caddy Organizer with Detachable Soap Dish, Drainer Tray, and Countertop or Wall Adhesive Use (Silver)","New sink organiser with 3 scrubs","Free Size","1","320.0","298.0",
"DELIVERED","140707634450371200_1","2025-04-07","Andhra Pradesh","Stainless Steel Rice Pot Drain Stand|Noodles Strainer|Cooked Rice Strainer Stand|Hands Free Rice Drainer Stand|Stand for Fruit|Beans","Rps-new","Free Size","1","290.0","290.0",
"DELIVERED","140719357528681537_1","2025-04-07","Telangana","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","1","299.0","299.0","TK9FBPS03040890"
"DELIVERED","141114763766242755_1","2025-04-08","Karnataka","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","1","299.0","299.0","TK9FBPS03040898"
"DELIVERED","141181443111228544_1","2025-04-08","Tamil Nadu","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","2","299.0","299.0",
"DELIVERED","141182695450808960_1","2025-04-08","Tamil Nadu","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","1","299.0","299.0","TK9FBPS03040888"
"RTO_COMPLETE","141196063658152576_1","2025-04-08","Tamil Nadu","Homtheo Stainless Steel Hands-Free Rice Pot Drainer Stand | Kitchen Strainer for Rice, Beans, Noodles & Fruits | Multi-Purpose Cooked Rice Strainer Stand | Durable Tabletop Draining Rack","double rod stand with mittens","Free Size","1","290.0","290.0",
"DELIVERED","141215146123563840_1","2025-04-08","Tamil Nadu","Homtheo Stainless Steel Hands-Free Rice Pot Drainer Stand | Kitchen Strainer for Rice, Beans, Noodles & Fruits | Multi-Purpose Cooked Rice Strainer Stand | Durable Tabletop Draining Rack","double rod stand with mittens","Free Size","1","290.0","290.0",
"DELIVERED","141490363836240640_1","2025-04-09","Andhra Pradesh","Homtheo Stainless Steel Hands-Free Rice Pot Drainer Stand | Kitchen Strainer for Rice, Beans, Noodles & Fruits | Multi-Purpose Cooked Rice Strainer Stand | Durable Tabletop Draining Rack","double rod stand with mittens","Free Size","1","290.0","290.0",
"DELIVERED","141492245312934656_1","2025-04-09","Maharashtra","Sponge Holder For Kitchen Sink Caddy Organizer Countertops And Walls Soap Tray Dish Drainer With Detachable Dish Drainer Tray(Stainless Steel, Silver)","caddy organizer#03","Free Size","1","319.0","319.0",
"DELIVERED","141536560775797251_1","2025-04-09","Haryana","Sponge Holder For Kitchen Sink Caddy Organizer Countertops And Walls Soap Tray Dish Drainer With Detachable Dish Drainer Tray(Stainless Steel, Silver)","caddy organizer#03","Free Size","1","319.0","319.0",
"DELIVERED","141568392380749952_1","2025-04-09","West Bengal","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","1","299.0","299.0","TK9FBPS03040916"
"DELIVERED","141630791906357376_1","2025-04-10","Karnataka","Mikado | Wooden 31 Pick-Up Sticks | Best Return Gift | Fun Family Indoor Board Game for Adults and Kids 5+ Years (Pack of 1)","Mikado","Free Size","1","99.0","99.0",
"RTO_COMPLETE","141744137896849536_1","2025-04-10","Kerala","Stainless Steel Rice Pot Drain Stand|Noodles Strainer|Cooked Rice Strainer Stand|Stand for Fruit,Beans Handsfree Rice Pot Drain Stand (Kitchen Drainer Stand) Green","Drainer Stand with Green mittens","Free Size","1","293.0","293.0",
"RTO_COMPLETE","141791177921420864_1","2025-04-10","Andhra Pradesh","Mikado | Wooden 31 Pick-Up Sticks | Best Return Gift | Fun Family Indoor Board Game for Adults and Kids 5+ Years (Pack of 1)","Mikado","Free Size","1","99.0","99.0",
"DELIVERED","141823940041765440_1","2025-04-10","Madhya Pradesh","Mikado | Wooden 31 Pick-Up Sticks | Best Return Gift | Fun Family Indoor Board Game for Adults and Kids 5+ Years (Pack of 1)","Mikado","Free Size","1","96.0","96.0",
"DELIVERED","141856771254421824_1","2025-04-10","Tamil Nadu","Homtheo Stainless Steel Hands-Free Rice Pot Drainer Stand | Kitchen Strainer for Rice, Beans, Noodles & Fruits | Multi-Purpose Cooked Rice Strainer Stand | Durable Tabletop Draining Rack","double rod stand with mittens","Free Size","1","290.0","290.0","TK9FBPS03040881"
"RTO_COMPLETE","141862724581137600_1","2025-04-10","Telangana","Mikado | Wooden 31 Pick-Up Sticks | Best Return Gift | Fun Family Indoor Board Game for Adults and Kids 5+ Years (Pack of 1)","Mikado","Free Size","1","99.0","99.0",
"DELIVERED","141871997746879745_1","2025-04-10","Andhra Pradesh","Rice Pot Drainer Stand | Stainless Steel Stand for Fruit, Beans, Noodle Strainer | Cooked Rice Strainer Stand | Hands Free Rice Drainer Stand | Rice Dry Stand","Rice Pot Drain Stand#10","Free Size","1","258.0","258.0",
"RTO_COMPLETE","141918207938763584_1","2025-04-10","Assam","Homtheo Stainless Steel Hands-Free Rice Pot Drainer Stand | Kitchen Strainer for Rice, Beans, Noodles & Fruits | Multi-Purpose Cooked Rice Strainer Stand | Durable Tabletop Draining Rack","double rod stand with mittens","Free Size","1","290.0","290.0",
"DELIVERED","141929523470267907_1","2025-04-10","Delhi","Homtheo Stainless Steel Sink Organizer with Detachable Tray (30x9.5x9.5 CM/Chrome Finish) - Streamlined Elegance Perfect for Kitchen and Bathroom Bliss! Bath Organization","S organizer(BIG)","Free Size","1","384.0","384.0","TK9FBPS03040913"
"DELIVERED","141935468711938368_1","2025-04-10","Karnataka","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","1","299.0","299.0","TK9FBPS03040914"
"DELIVERED","142099751507532998_1","2025-04-11","Maharashtra","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","1","299.0","299.0","TK9FBPS03040879"
"DELIVERED","142414101544825408_1","2025-04-12","Tamil Nadu","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","1","295.0","295.0","TK9FBPS03040912"
"DELIVERED","142519516555244104_1","2025-04-12","Puducherry","Homtheo|Rice Drainer Stand | Rice Pot Drainer Stand | Drain Stand for Rice | Stainless Steel Hands Free Rice Beans Noodle Pasta Drainer Strainer Stand|rice Dry stand","Homtheo RPS","Free Size","1","336.0","336.0","TK9FBPS03040869"
"CANCELLED","142546588094820992_1","2025-04-12","Tamil Nadu","Mikado | Wooden 31 Pick-Up Sticks | Best Return Gift | Fun Family Indoor Board Game for Adults and Kids 5+ Years (Pack of 1)","Mikado","Free Size","1","99.0","99.0",
"DELIVERED","142618029675092864_1","2025-04-12","Uttar Pradesh","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","2","299.0","299.0","TK9FBPS03040910"
