"Reason for Credit Entry","Sub Order No","Order Date","Customer State","Product Name","SKU","Size","Quantity","Supplier Listed Price (Incl. GST + Commission)","Supplier Discounted Price (Incl GST and Commision)","Packet Id"
"DELIVERED","141514822214161216_1","2025-04-09","Bihar","Men's Printed & Solid Shirts | Casual, Formal, Party Wear | Popcorn Fabric","Shirt","L","1","4.0","4.0",
"DELIVERED","141520253364099328_1","2025-04-09","Rajasthan","Men's Printed & Solid Shirts | Casual, Formal, Party Wear | Popcorn Fabric","Shirt","L","1","4.0","4.0",
"DELIVERED","144260393379241152_1","2025-04-17","Punjab","Lunch Box | 3 Compartment Stainless Steel Lunchbox | Leak-Proof Tiffin Box for Kids & Adults | BPA-Free Bento Lunch Box with Spoon, Fork & Chopsticks | School Lunch Box for Boys & Girls | Office Lunch Box for Men & Women | Reusable, Durable, Eco-Friendly Tiffin Box","lunchbox","Free Size","1","395.0","395.0",
"DELIVERED","144301306253253504_1","2025-04-17","West Bengal","Lunch Box | 3 Compartment Stainless Steel Lunchbox | Leak-Proof Tiffin Box for Kids & Adults | BPA-Free Bento Lunch Box with Spoon, Fork & Chopsticks | School Lunch Box for Boys & Girls | Office Lunch Box for Men & Women | Reusable, Durable, Eco-Friendly Tiffin Box","lunchbox","Free Size","1","395.0","395.0",
"RTO_COMPLETE","144647968325573184_1","2025-04-18","Andhra Pradesh","Men's Popcorn Fabric Designer Shirt | Urban Casual Shirt for Men | Half Sleeve Stylish Shirt | Daily Fashion Wear | Trendy Shirt for Men with Button Down Collar | College & Street Style Shirt | Perfect Gift for Boys & Men | Lightweight Summer Shirt | Party Look Men?s Shirt","TfoHWgNL","M","1","300.0","300.0",
"DELIVERED","144703815622956992_1","2025-04-18","Telangana","Men's Popcorn Fabric Designer Shirt | Urban Casual Shirt for Men | Half Sleeve Stylish Shirt | Daily Fashion Wear | Trendy Shirt for Men with Button Down Collar | College & Street Style Shirt | Perfect Gift for Boys & Men | Lightweight Summer Shirt | Party Look Men?s Shirt","TfoHWgNL","S","1","231.0","231.0",
"DELIVERED","144749275502974784_1","2025-04-18","Andhra Pradesh","Men's Popcorn Fabric Designer Shirt | Urban Casual Shirt for Men | Half Sleeve Stylish Shirt | Daily Fashion Wear | Trendy Shirt for Men with Button Down Collar | College & Street Style Shirt | Perfect Gift for Boys & Men | Lightweight Summer Shirt | Party Look Men?s Shirt","TfoHWgNL","L","1","269.0","269.0",
"RTO_COMPLETE","145464775946114880_1","2025-04-20","Tamil Nadu","Track | Traack Stylish Jogger Lower for Men | Lower for Men Sports | Gym Track Pants for Men | Stylish Casual Wear Lower | Daily Wear Traack Pant | Combo Pack of 2 | Stretchable & Comfortable Fit | Stylish Trendy Track Pants | Men?s Lower Pack | Casual & Gymwear","track","XL","1","252.0","252.0",
"DELIVERED","145530133494045248_1","2025-04-20","Gujarat","Imported Stylish Shirts For Mens","white","S","1","240.0","240.0",
"DELIVERED","145530649541511360_1","2025-04-20","Gujarat","Track | Traack Premium Jogger Lower for Men | Sports & Casual Wear Combo | Lower for Men Pack of 3 | Trendy & Comfortable Track Pants | Stretchable Slim Fit Jogger | Men?s Bottomwear for Gym, Yoga, Travel | Soft Fabric Daily Wear Lower | Fashionable Traack Pant","set of 3","30","1","370.0","370.0",
