"Reason for Credit Entry","Sub Order No","Order Date","Customer State","Product Name","SKU","Size","Quantity","Supplier Listed Price (Incl. GST + Commission)","Supplier Discounted Price (Incl GST and Commision)","Packet Id"
"RTO_OFD","160466543514299392_1","2025-06-01","Tamil Nadu","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","Adjestabel rack","Free Size","1","294.0","283.0","KP9MRQR02109847"
"RTO_COMPLETE","160522428143970824_1","2025-06-01","Maharashtra","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","Adjestabel rack","Free Size","1","294.0","283.0","KP9YAJU02503132"
"CANCELLED","160532741299973056_1","2025-06-01","Uttar Pradesh","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","Adjestabel rack","Free Size","1","294.0","283.0",
"RTO_COMPLETE","160573335456000515_1","2025-06-01","Tamil Nadu","Stainless Steel Bathroom Wall Hook 6 Hooks Cloth Hanger Bathroom Wall Door Hook Magic Sticker Self Adhesive for Bathroom Towel Rail Kitchen Hanger Hooks Capacity-5 Kg, Silver","Stainless Steel Bathroom Wall Hook 6","Free Size","1","220.0","220.0","KP9MRQR02109716"
"DELIVERED","160584600061054529_1","2025-06-01","Jharkhand","Air Fryer Silicone Pots, 8 Inch Silicone Air Fryer Basket, Food Safe Air Fryers Oven Accessories, Replacement of Parchment Paper, Reusable Air Fryer Silicone Liner","AIR FRYERS LINERS & MITTENS AND BRUSHES","Free Size","1","150.0","150.0","TK2PLYM22653757"
"CANCELLED","160589407844379456_1","2025-06-01","Uttar Pradesh","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","Adjestabel rack","Free Size","1","270.0","260.0",
"DELIVERED","160593928310041412_1","2025-06-01","Rajasthan","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","Adjestabel rack","Free Size","1","294.0","283.0","KP9YAJU02503133"
"RTO_OFD","160595995044948482_1","2025-06-01","Punjab","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","Adjestabel rack","Free Size","1","294.0","283.0","KP9YAJU02503137"
"DELIVERED","160603885432558978_1","2025-06-01","Telangana","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","Adjestabel rack","Free Size","1","294.0","283.0","KP9YAJU02503138"
"DELIVERED","160604530436811520_1","2025-06-01","Kerala","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","Adjestabel rack","Free Size","1","294.0","283.0","KP9MRQR02109863"
